                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.64442,                0.37187,                0.89471,                0.99597,                0.99549,                0.99486,                0.89368,                0.55067,                0.20984,                0.85555,               0.002971,               0.002971,               0.002971
                     74,                0.64488,                  0.371,                 0.8945,                0.99613,                0.99524,                0.99488,                 0.8935,                0.55049,                0.20942,                0.85546,               0.002872,               0.002872,               0.002872
                     75,                0.64265,                0.36929,                 0.8939,                0.99619,                0.99495,                0.99488,                 0.8934,                 0.5503,                0.20903,                0.85551,               0.002773,               0.002773,               0.002773
                     76,                 0.6416,                0.36666,                0.89435,                0.99606,                0.99559,                0.99488,                0.89354,                0.55032,                0.20904,                0.85544,               0.002674,               0.002674,               0.002674
                     77,                0.64064,                0.36503,                0.89344,                 0.9964,                0.99542,                0.99489,                0.89315,                0.55023,                0.20872,                0.85543,               0.002575,               0.002575,               0.002575
                     78,                0.63973,                0.36449,                0.89289,                0.99633,                0.99575,                0.99489,                0.89346,                0.55019,                0.20898,                0.85544,               0.002476,               0.002476,               0.002476
                     79,                0.63659,                0.36096,                  0.892,                0.99629,                0.99584,                 0.9949,                0.89343,                0.55009,                0.20868,                 0.8555,               0.002377,               0.002377,               0.002377
                     80,                0.63687,                0.35937,                0.89231,                  0.996,                0.99602,                 0.9949,                0.89383,                0.54945,                0.20814,                0.85527,               0.002278,               0.002278,               0.002278
                     81,                0.63476,                0.35649,                 0.8908,                 0.9962,                0.99591,                 0.9949,                0.89374,                0.54925,                0.20786,                0.85525,               0.002179,               0.002179,               0.002179
                     82,                0.63462,                 0.3557,                0.89172,                0.99632,                0.99592,                0.99491,                0.89445,                0.54888,                0.20762,                0.85512,                0.00208,                0.00208,                0.00208
                     83,                0.63171,                0.35313,                0.89015,                0.99636,                0.99549,                0.99491,                0.89442,                0.54874,                0.20749,                0.85502,               0.001981,               0.001981,               0.001981
                     84,                  0.632,                0.35114,                 0.8906,                0.99587,                0.99509,                0.99491,                 0.8943,                0.54801,                0.20691,                0.85471,               0.001882,               0.001882,               0.001882
                     85,                0.63062,                0.34904,                 0.8897,                0.99575,                0.99519,                0.99489,                0.89443,                0.54783,                0.20704,                0.85462,               0.001783,               0.001783,               0.001783
                     86,                0.62618,                0.34641,                0.88878,                0.99513,                0.99652,                 0.9949,                0.89508,                0.54814,                0.20676,                0.85464,               0.001684,               0.001684,               0.001684
                     87,                0.62524,                 0.3434,                0.88863,                0.99551,                0.99611,                0.99489,                0.89475,                0.54809,                0.20665,                0.85459,               0.001585,               0.001585,               0.001585
                     88,                0.62354,                0.34184,                0.88818,                 0.9949,                0.99679,                0.99489,                0.89583,                0.54801,                0.20605,                0.85468,               0.001486,               0.001486,               0.001486
                     89,                 0.6224,                0.33876,                0.88734,                0.99503,                0.99689,                0.99489,                0.89533,                0.54808,                0.20555,                0.85465,               0.001387,               0.001387,               0.001387
                     90,                 0.6207,                0.33614,                0.88667,                0.99518,                0.99698,                0.99488,                 0.8956,                0.54816,                 0.2057,                0.85457,               0.001288,               0.001288,               0.001288
                     91,                0.58066,                0.25621,                0.86677,                0.99596,                0.99706,                0.99489,                0.89626,                0.54769,                0.20511,                0.85461,               0.001189,               0.001189,               0.001189
                     92,                0.57683,                0.25365,                0.86456,                0.99571,                0.99686,                0.99487,                0.89672,                 0.5465,                0.20504,                0.85433,                0.00109,                0.00109,                0.00109
                     93,                 0.5736,                0.24888,                0.86296,                0.99546,                0.99721,                0.99488,                0.89672,                0.54616,                0.20445,                0.85414,               0.000991,               0.000991,               0.000991
                     94,                0.57143,                0.24559,                0.86332,                0.99599,                0.99705,                0.99489,                0.89733,                0.54529,                0.20364,                0.85393,               0.000892,               0.000892,               0.000892
                     95,                0.56825,                0.24253,                0.86189,                0.99639,                0.99648,                0.99489,                0.89803,                0.54496,                 0.2028,                0.85379,               0.000793,               0.000793,               0.000793
                     96,                0.56555,                0.23988,                0.86017,                0.99613,                 0.9965,                0.99491,                0.89784,                0.54454,                0.20266,                0.85367,               0.000694,               0.000694,               0.000694
                     97,                0.56317,                0.23648,                0.86012,                0.99542,                 0.9972,                0.99491,                0.89799,                0.54406,                 0.2019,                0.85362,               0.000595,               0.000595,               0.000595
                     98,                0.55972,                0.23239,                0.85866,                0.99552,                  0.997,                0.99493,                0.89801,                0.54349,                0.20115,                0.85343,               0.000496,               0.000496,               0.000496
                     99,                0.55602,                0.22823,                0.85769,                0.99632,                0.99605,                0.99492,                0.89818,                0.54333,                0.20066,                0.85327,               0.000397,               0.000397,               0.000397
                    100,                 0.5531,                0.22559,                0.85668,                0.99481,                0.99711,                0.99493,                0.89812,                0.54327,                 0.2008,                0.85328,               0.000298,               0.000298,               0.000298
